pad;F.Cu;In1.Cu;In2.Cu;In3.Cu;In4.Cu;B.Cu;;Layer Name;velocity (m/s);min flight T (ps);max flight T (ps);mean flight t (s)
K3;16.8214515;13.5123135;13.5123135;13.5123135919205;13.512313683841;13.5123137757615;;;;91.461;92.38;9.19205E-11
F20;16.839294;13.526646;13.526646;13.526646092018;13.526646184036;13.526646276054;;;;91.558;92.478;9.2018E-11
N5;16.877541;13.557369;13.557369;13.557369092227;13.557369184454;13.557369276681;;;;91.766;92.688;9.2227E-11
R4;16.939578;13.607202;13.607202;13.607202092566;13.607202185132;13.607202277698;;;;92.103;93.029;9.2566E-11
T16;16.982034;13.641306;13.641306;13.641306092798;13.641306185596;13.641306278394;;;;92.334;93.262;9.2798E-11
W15;16.98606;13.64454;13.64454;13.64454009282;13.64454018564;13.64454027846;;;;92.356;93.284;9.282E-11
P4;17.0051835;13.6599015;13.6599015;13.6599015929245;13.659901685849;13.6599017787735;;;;92.46;93.389;9.29245E-11
H22;17.0117715;13.6651935;13.6651935;13.6651935929605;13.665193685921;13.6651937788815;;;;92.496;93.425;9.29605E-11
F19;17.0137845;13.6668105;13.6668105;13.6668105929715;13.666810685943;13.6668107789145;;;;92.507;93.436;9.29715E-11
F18;17.029797;13.679673;13.679673;13.679673093059;13.679673186118;13.679673279177;;;;92.594;93.524;9.3059E-11
G21;17.0370255;13.6854795;13.6854795;13.6854795930985;13.685479686197;13.6854797792955;;;;92.633;93.564;9.30985E-11
G3;17.0445285;13.6915065;13.6915065;13.6915065931395;13.691506686279;13.6915067794185;;;;92.674;93.605;9.31395E-11
M13;17.0476395;13.6940055;13.6940055;13.6940055931565;13.694005686313;13.6940057794695;;;;92.691;93.622;9.31565E-11
E14;17.127519;13.758171;13.758171;13.758171093593;13.758171187186;13.758171280779;;;;93.125;94.061;9.3593E-11
L3;17.129166;13.759494;13.759494;13.759494093602;13.759494187204;13.759494280806;;;;93.134;94.07;9.3602E-11
U5;17.1332835;13.7628015;13.7628015;13.7628015936245;13.762801687249;13.7628017808735;;;;93.156;94.093;9.36245E-11
E19;17.1384075;13.7669175;13.7669175;13.7669175936525;13.766917687305;13.7669177809575;;;;93.184;94.121;9.36525E-11
T4;17.1446295;13.7719155;13.7719155;13.7719155936865;13.771915687373;13.7719157810595;;;;93.218;94.155;9.36865E-11
T15;17.1462765;13.7732385;13.7732385;13.7732385936955;13.773238687391;13.7732387810865;;;;93.227;94.164;9.36955E-11
C18;17.2159995;13.8292455;13.8292455;13.8292455940765;13.829245688153;13.8292457822295;;;;93.606;94.547;9.40765E-11
J2;17.266965;13.870185;13.870185;13.870185094355;13.87018518871;13.870185283065;;;;93.883;94.827;9.4355E-11
B4;17.2941405;13.8920145;13.8920145;13.8920145945035;13.892014689007;13.8920147835105;;;;94.031;94.976;9.45035E-11
T5;17.3161005;13.9096545;13.9096545;13.9096545946235;13.909654689247;13.9096547838705;;;;94.15;95.097;9.46235E-11
K22;17.3581905;13.9434645;13.9434645;13.9434645948535;13.943464689707;13.9434647845605;;;;94.379;95.328;9.48535E-11
M2;17.3651445;13.9490505;13.9490505;13.9490505948915;13.949050689783;13.9490507846745;;;;94.417;95.366;9.48915E-11
A4;17.3768565;13.9584585;13.9584585;13.9584585949555;13.958458689911;13.9584587848665;;;;94.481;95.43;9.49555E-11
W9;17.389575;13.968675;13.968675;13.968675095025;13.96867519005;13.968675285075;;;;94.55;95.5;9.5025E-11
J22;17.417757;13.991313;13.991313;13.991313095179;13.991313190358;13.991313285537;;;;94.703;95.655;9.5179E-11
K16;17.534694;14.085246;14.085246;14.085246095818;14.085246191636;14.085246287454;;;;95.339;96.297;9.5818E-11
M3;17.5494255;14.0970795;14.0970795;14.0970795958985;14.097079691797;14.0970797876955;;;;95.419;96.378;9.58985E-11
G22;17.569098;14.112882;14.112882;14.112882096006;14.112882192012;14.112882288018;;;;95.526;96.486;9.6006E-11
P5;17.6495265;14.1774885;14.1774885;14.1774885964455;14.177488692891;14.1774887893365;;;;95.963;96.928;9.64455E-11
K2;17.6711205;14.1948345;14.1948345;14.1948345965635;14.194834693127;14.1948347896905;;;;96.081;97.046;9.65635E-11
M9;17.683656;14.204904;14.204904;14.204904096632;14.204904193264;14.204904289896;;;;96.149;97.115;9.6632E-11
T14;17.718975;14.233275;14.233275;14.233275096825;14.23327519365;14.233275290475;;;;96.341;97.309;9.6825E-11
K13;17.747157;14.255913;14.255913;14.255913096979;14.255913193958;14.255913290937;;;;96.494;97.464;9.6979E-11
L21;17.8026975;14.3005275;14.3005275;14.3005275972825;14.300527694565;14.3005277918475;;;;96.796;97.769;9.72825E-11
W7;17.802972;14.300748;14.300748;14.300748097284;14.300748194568;14.300748291852;;;;96.798;97.77;9.7284E-11
E13;17.8442385;14.3338965;14.3338965;14.3338965975095;14.333896695019;14.3338967925285;;;;97.022;97.997;9.75095E-11
